TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Real Life No Filters T Shirt, Minimalist Social Humor Statement Tee","Some things work better without filters.

This minimalist humour T shirt features a clean smartphone diagram marked with subtle cracks and the bold statement Real Life. No Filters. It is a dry, modern take on social media culture and real world interaction, designed to be worn rather than explained.

The graphic is intentionally simple and high contrast, making it easy to read from a distance and suitable for everyday wear. It works as a quiet conversation starter, a knowing joke, or a personal statement for anyone who prefers authenticity over polish.

Printed on the Gildan Softstyle 64000, this unisex tee offers a lightweight, soft feel with a modern fit that is comfortable all year round. The smooth finish and tear away label make it an easy go to piece rather than a novelty item.

Ideal for casual wear, nights out, festivals, or as a gift for someone who appreciates understated humour and clean design.

Product details

• Lightweight unisex T shirt with classic crew neckline
• Soft ring spun cotton for everyday comfort
• Smooth fit with no side seams
• Ribbed collar designed to hold its shape
• Pearlized tear away label for comfort
• Ethically sourced and Oeko Tex certified materials

Please note that the white colour variant may appear slightly off white due to fabric properties.

EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Gildan 64000, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Bangladesh
Care instructions: Machine wash: cold (max 30C or 90F), with similar colors , Do not bleach, Tumble dry: low heat, Iron, steam or dry: low heat, Do not dryclean",11.39,GBP,30969,"real_life_no_filters,funny_statement_tee,minimalist_humor,social_media_humor,modern_graphic_tee,conversation_starter,anti_filter_shirt,dry_humor_tee,unisex_funny_shirt,clean_design_tee,casual_humor,top_tongue_in_cheek,everyday_wear",,https://i.etsystatic.com/63847702/r/il/3af55a/7898395678/il_fullxfull.7898395678_t9z9.jpg,https://i.etsystatic.com/63847702/r/il/fbe848/7898396212/il_fullxfull.7898396212_ghp7.jpg,https://i.etsystatic.com/63847702/r/il/1c41f8/7946357171/il_fullxfull.7946357171_1m01.jpg,https://i.etsystatic.com/63847702/r/il/b446cc/7946357625/il_fullxfull.7946357625_gf1z.jpg,https://i.etsystatic.com/63847702/r/il/aece9b/7898397406/il_fullxfull.7898397406_mxti.jpg,https://i.etsystatic.com/63847702/r/il/1f7165/7946358361/il_fullxfull.7946358361_1mg4.jpg,https://i.etsystatic.com/63847702/r/il/5ea751/7946358717/il_fullxfull.7946358717_9jok.jpg,https://i.etsystatic.com/63847702/r/il/79bc46/7898398634/il_fullxfull.7898398634_nxr8.jpg,https://i.etsystatic.com/63847702/r/il/dd5656/7898398968/il_fullxfull.7898398968_lma0.jpg,,"Custom Property",Colors,"Navy,Red,Sport Grey,White,Dark Heather,Natural","Custom Property",Sizes,"S,M,L,XL,2XL,3XL","30252474277874726236,unavailable_sku,86566159319830408038,36555426845397270723,22047407096815151229,29589363864972363714,33660298433767752575,14495417574658844055,10131505961092720257,17043418999471235781,23222905750834401055,20545122278275070260,19215656144099928481,29588908357924545284,22829852159367687601,25655725193898767088,13540811627217251798,18139080210589023516,10929012418202548858,30763165298167245289,10348714440316696384,13440686316784536563,57138610802524490491,22424078954656627603,11818774341287050450,11070460611862303918,27767046881017662487,14373791597651376371,33449371615938698267,29317872011567809954,25957900214799150446,32492975420848975508"
"Legacy Hardware 11oz White Mug Funny Tech Humor Coffee Cup Retro Computer Joke Gift","Some hardware may be legacy. That does not mean it is obsolete.

This minimalist humour mug features a clean floppy disk design with the phrase Legacy Hardware, a dry, tongue in cheek nod to retro technology and gentle self depreciation. It is designed to be subtle rather than shouty, making it ideal for desks, home offices, workshops, and everyday use.

The design leans into old internet and early computing nostalgia without relying on loud graphics or obvious jokes. It works as a quiet conversation starter, a knowing gift, or simply a mug that makes its owner smile without needing explanation.

Made from brilliant white ceramic with a high quality ORCA coating, this mug is built for daily use and repeat refills. The smooth finish ensures crisp print clarity and long lasting durability.

A great gift for tech workers, engineers, IT professionals, office humour fans, or anyone who appreciates understated wit and retro design.

Product details

• White ceramic mug
• 11oz capacity
• Comfortable C handle
• AAA+ ORCA coating for vibrant, long lasting prints
• Microwave safe
• Dishwasher safe up to 3000 cycles

EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: ORCA Coatings, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Care instructions: Clean in dishwasher or wash by hand with warm water and dish soap",6.82,GBP,999,"legacy_hardware,tech_humor_mug,retro_computer,funny_office_mug,geek_gift,IT_humor,old_tech_dry_humor,mug_computer_joke,nerd_mug,office_coffee,retro_tech,dad_gift,husband_gift",,https://i.etsystatic.com/63847702/r/il/6e9d49/7570457498/il_fullxfull.7570457498_p1so.jpg,https://i.etsystatic.com/63847702/r/il/9a869c/7570463288/il_fullxfull.7570463288_7ls6.jpg,https://i.etsystatic.com/63847702/r/il/0560f4/7570461646/il_fullxfull.7570461646_lerr.jpg,https://i.etsystatic.com/63847702/r/il/3a70ef/7618412221/il_fullxfull.7618412221_j79d.jpg,https://i.etsystatic.com/63847702/r/il/b61b7e/7570458400/il_fullxfull.7570458400_2nz2.jpg,,,,,,,,,,,,27636112287676410396
"Im Not Procrastinating Im Prioritising Differently Hardcover Matte Journal | Funny Procrastinator Notebook | Office Humor Gift","Some people procrastinate. Others simply prioritise differently.

This humorous journal is designed for thinkers, overthinkers, and anyone who prefers to plan slowly and thoughtfully. Featuring the phrase “I’m not procrastinating, I’m prioritising differently” on the front cover, it sets the tone perfectly before a single word is written inside.

The back cover offers a short list of gentle, tongue in cheek reminders for dealing with procrastination without guilt or pressure. It does not promise productivity miracles. It simply gives you space to think, write, and come back to things when you are ready.

Ideal for desks, home offices, meetings, or quiet planning moments. This notebook also makes a great gift for coworkers, managers, students, creatives, and anyone who appreciates dry, self deprecating humour.

Use it for notes, ideas, lists, or thoughts you will absolutely come back to later.

Product details

• Softcover journal with clean minimalist design
• Ideal for work, study, or personal notes
• Humorous front and back cover text
• Suitable as a gift or everyday notebook

EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Generic brand, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Care instructions: Use a soft, clean and dry cloth to gently brush any dust or dirt off from the center of book outwards.",19.36,GBP,999,"procrastination,funny_journal,office_humor,work_notebook,sarcastic_gift,coworker_gift,manager_gift,humor_notebook,desk_journal,funny_stationery,self_deprecating,thinking_journal,office_gift",,https://i.etsystatic.com/63847702/r/il/3d3767/7570161392/il_fullxfull.7570161392_30oe.jpg,https://i.etsystatic.com/63847702/r/il/057152/7618109629/il_fullxfull.7618109629_dria.jpg,https://i.etsystatic.com/63847702/r/il/81d066/7618110121/il_fullxfull.7618110121_rbn3.jpg,https://i.etsystatic.com/63847702/r/il/0aa006/7618110741/il_fullxfull.7618110741_hg69.jpg,https://i.etsystatic.com/63847702/r/il/806d45/7570164068/il_fullxfull.7570164068_63o9.jpg,https://i.etsystatic.com/63847702/r/il/513ff9/7570164916/il_fullxfull.7570164916_e5ga.jpg,https://i.etsystatic.com/63847702/r/il/06404f/7570165364/il_fullxfull.7570165364_46ce.jpg,,,,,,,,,,63103062955877797141
"Funny Mechanic Coffee Mug: Piston Broke Garage Humor Gift","Some mornings you wake up ready to fix the world. Other mornings the piston broke.

This humorous garage inspired mug is made for mechanics, car tinkerers, and anyone who has ever taken something apart and immediately regretted it. Featuring a cracked piston illustration and bold PISTON BROKE text, it is the perfect companion for early mornings in the workshop, the garage, or the kitchen before another project begins.

Whether you are a professional mechanic, weekend car enthusiast, or buying a gift for someone who lives in the garage, this mug delivers a knowing smile with every cup.

Made from durable white ceramic with a glossy finish, it is built for daily use and repeated refills. The high quality print stays vivid wash after wash and the comfortable handle makes it easy to hold while planning the next fix.

A great gift for birthdays, Fathers Day, Christmas, or as a tongue in cheek surprise for your favourite car obsessed friend.

Product details

• Durable white ceramic mug
• Available in 11oz and 15oz sizes
• Comfortable C handle with shiny finish
• Microwave safe and dishwasher safe
• Lead free and BPA free
• Professionally printed for long lasting colour

Perfect for coffee, tea, or that first strong brew before opening the toolbox.

EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Generic brand, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Care instructions: Clean in dishwasher or wash by hand with warm water and dish soap",7.42,GBP,1998,"piston_broke_mug,funny_mechanic_mug,garage_humor_mug,car_guy_mug,mechanic_gift,gift_for_mechanic,auto_repair_mug,workshop_coffee,funny_car_mug,garage_gift,engine_humor,tinkerer_gift",,https://i.etsystatic.com/63847702/r/il/b50366/7566929038/il_fullxfull.7566929038_dpi1.jpg,https://i.etsystatic.com/63847702/r/il/8e0f3e/7566925082/il_fullxfull.7566925082_91bu.jpg,https://i.etsystatic.com/63847702/r/il/76716c/7566692818/il_fullxfull.7566692818_7e0b.jpg,,,,,,,,"Custom Property",Size,"11oz,15oz",,,,"21527024693169053023,18168690327949002414"
"Piston Broke Trucker Cap Funny Mechanic Hat Garage Humor Workshop Snapback Gift for Car Lovers","Bring garage humour into everyday wear with this Piston Broke trucker cap, made for mechanics, tinkerers, van lifers and anyone who knows that projects do not always go to plan.

The bold piston graphic paired with the dry humour text says everything without needing to explain yourself. It is the kind of cap that gets a knowing nod in the workshop, at the parts counter or at a car meet.

Designed in a classic vintage trucker style, it features a structured foam front for a clean look and a breathable mesh back to keep you cool during long days under the bonnet or behind the wheel. The adjustable snapback ensures a comfortable fit whether you are wrenching, driving or just leaning back with a brew.

This cap also makes a great gift for mechanics, car enthusiasts, DIY builders and anyone who has ever muttered “it was running fine yesterday”.

Why you will love it

• Funny piston design with bold, clear print
• Classic trucker style with breathable mesh back
• Comfortable snapback fit for everyday wear
• Durable stitching and fade resistant printing
• Ideal gift for mechanics, car lovers and workshop humour fans

Product details

• Adjustable plastic strap fits approx 20 to 24 inches
• 100 percent polyester foam front with nylon mesh back
• Professional quality vivid printing with colour matched details
• Six row stitched visor for durability
• Meets lead and phthalates requirements

Care instructions

Clean gently with warm water and mild dish soap. Spot clean only. Use a soft brush for stubborn marks. No need to soak the whole cap.


EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: OTTO Cap 39-165, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Myanmar
Care instructions: Use warm water and dish soap and clean spots off your hat. It's not necessary to soak the whole item. For hard to clean spots use a soft bristled brush.",26.87,GBP,6993,"piston_broke,mechanic_hat,funny_mechanic,garage_humor,car_guy_gift,workshop_cap,gift_for_mechanic,gift_for_him,car_lover_gift,auto_enthusiast,snapback_cap","Nylon,Polyester",https://i.etsystatic.com/63847702/r/il/ecf031/7615419837/il_fullxfull.7615419837_my8r.jpg,https://i.etsystatic.com/63847702/r/il/75ab78/7615421875/il_fullxfull.7615421875_oqw3.jpg,https://i.etsystatic.com/63847702/r/il/90b683/7615423935/il_fullxfull.7615423935_m0ab.jpg,https://i.etsystatic.com/63847702/r/il/76b4ed/7567479752/il_fullxfull.7567479752_t2fi.jpg,https://i.etsystatic.com/63847702/r/il/9bb99a/7567481374/il_fullxfull.7567481374_ed5k.jpg,https://i.etsystatic.com/63847702/r/il/27241d/7567483128/il_fullxfull.7567483128_6k98.jpg,https://i.etsystatic.com/63847702/r/il/5001a8/7567484134/il_fullxfull.7567484134_hkaz.jpg,https://i.etsystatic.com/63847702/r/il/5058d6/7567485532/il_fullxfull.7567485532_3tld.jpg,,,"Custom Property","Otto Colors","Black,Green,Pink,Blue/Red,Dark Green,Dark Navy,Royal",,,,"26888594444695823374,10913035904850747693,71208322923574679182,26337231761973900708,69504035171901042933,29679709192140526741,13983690660340164240"
"Funny Procrastinating Coffee Mug | Sarcastic Office Humor Gift","Some people procrastinate. Others simply prioritise… differently.

This sarcastic humour mug features the phrase “I’m not procrastinating, I’m prioritising differently” presented in a simple thought bubble design. It is a quiet, knowing joke that works perfectly for desks, home offices, and anyone who understands that productivity is not always linear.

Ideal for workdays, meetings, or moments when the to do list is being actively ignored with purpose. Whether you are working from home, in an office, or buying a gift for a colleague who definitely understands this mindset, this mug delivers dry humour without being loud or crass.

Made from durable white ceramic with a smooth glossy finish, it is designed for everyday use and repeated refills. The clean, high contrast print ensures the message stays sharp and readable over time.

A great gift for office workers, managers, remote workers, students, and anyone who enjoys intelligent, self-deprecating humour.

Product details

• Durable white ceramic mug
• Available in 11oz and 15oz sizes
• Comfortable C handle
• Microwave safe and dishwasher safe
• Lead free and BPA free
• Professionally printed for long lasting colour

Perfect for coffee, tea, or staring thoughtfully into while avoiding emails.

EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Generic brand, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: Blank product sourced from China
Care instructions: Clean in dishwasher or wash by hand with warm water and dish soap",10.11,GBP,8991,"procrastinating_mug,office_humor_mug,funny_work_mug,sarcastic_coffee_cup,work_from_home_mug,productivity_humor,gift_for_coworker,manager_gift,desk_humor,dry_humor_mug,self_deprecating,prioritising_mug",,https://i.etsystatic.com/63847702/r/il/843c0f/7570102858/il_fullxfull.7570102858_8nhs.jpg,https://i.etsystatic.com/63847702/r/il/55058a/7570104370/il_fullxfull.7570104370_f0t7.jpg,https://i.etsystatic.com/63847702/r/il/b8081e/7570104918/il_fullxfull.7570104918_klqv.jpg,https://i.etsystatic.com/63847702/r/il/902102/7570105826/il_fullxfull.7570105826_gpyb.jpg,https://i.etsystatic.com/63847702/r/il/e15383/7570106814/il_fullxfull.7570106814_qti9.jpg,https://i.etsystatic.com/63847702/r/il/95a72f/7618054957/il_fullxfull.7618054957_sj7b.jpg,https://i.etsystatic.com/63847702/r/il/a25380/7618055635/il_fullxfull.7618055635_dc22.jpg,https://i.etsystatic.com/63847702/r/il/bda9cc/7618056173/il_fullxfull.7618056173_6wqt.jpg,https://i.etsystatic.com/63847702/r/il/20b265/7618056923/il_fullxfull.7618056923_oqe5.jpg,https://i.etsystatic.com/63847702/r/il/6c3788/7570110702/il_fullxfull.7570110702_oeur.jpg,"Custom Property",Color,"Black,Navy,Pink,Red,Light Blue,Orange,Purple,Yellow,Light Green",,,,"13089186685010993595,16779854702407485995,16478760621446018629,29038856646972810130,24732843096675219809,18933231031589658222,29485512069092866573,63626616596996627554,50595989301951034021"
"Minimal Cherry T Shirt Cute Aesthetic Fruit Tee Subtle Graphic Shirt Soft Style Unisex Summer Outfit Gift","A clean, minimal cherry design that keeps things simple and quietly playful. This subtle fruit graphic tee is designed for those who prefer understated style with a hint of personality. No loud slogans, just a soft visual that works effortlessly with everyday outfits.

Perfect for summer, casual wear, or layering, this aesthetic cherry shirt pairs easily with jeans, shorts, or relaxed fits. It also works well as a low key gift for anyone who enjoys minimalist fashion, fruit themes, or subtle statement pieces.

Whether you see it as cute, classic, or something a little more knowing, this design is intentionally open to interpretation.

Product details:

The Gildan Softstyle 64000 offers a modern unisex fit with lightweight comfort and a smooth feel. Solid colours are made from 100 percent ring spun cotton, while heather blends include polyester for durability. The shirt features reinforced shoulders, no side seams for a cleaner fit, and a ribbed collar that keeps its shape.

Made for all day wear with a soft, breathable fabric that works across seasons.

Please note:
White variants may appear slightly off white due to fabric properties.
Sleeve prints and labels may vary depending on print provider.",14.21,GBP,29970,"cherry_shirt,cherry_tee,fruit_shirt,aesthetic_tee,cute_graphic_tee,minimal_shirt,summer_outfit,subtle_design,kawaii_shirt,pastel_aesthetic,womens_gift,unisex_tshirt,soft_style_tee",,https://i.etsystatic.com/63847702/r/il/e226f6/7973768794/il_fullxfull.7973768794_1fs4.jpg,https://i.etsystatic.com/63847702/r/il/055d36/8021715541/il_fullxfull.8021715541_so7r.jpg,https://i.etsystatic.com/63847702/r/il/d0c7c7/8021696267/il_fullxfull.8021696267_bq1b.jpg,https://i.etsystatic.com/63847702/r/il/5bcfdb/7973747332/il_fullxfull.7973747332_hhry.jpg,https://i.etsystatic.com/63847702/r/il/e43078/8021696887/il_fullxfull.8021696887_kw2g.jpg,https://i.etsystatic.com/63847702/r/il/eda2ed/7973748030/il_fullxfull.7973748030_76at.jpg,https://i.etsystatic.com/63847702/r/il/73f816/8021697551/il_fullxfull.8021697551_nari.jpg,https://i.etsystatic.com/63847702/r/il/9a96d7/8021697873/il_fullxfull.8021697873_mgh3.jpg,https://i.etsystatic.com/63847702/r/il/982597/8021698207/il_fullxfull.8021698207_baye.jpg,https://i.etsystatic.com/63847702/r/il/fa05f6/7973749348/il_fullxfull.7973749348_9v0v.jpg,"Custom Property",Colors,"Navy,Sport Grey,Black,Military Green,Dark Heather,Natural,White","Custom Property",Sizes,"S,M,L,XL,2XL,3XL","unavailable_sku,30265827910517373839,33978850769733326066,78434340598628448267,11911419373649421573,59068092731380404544,14294713597756457987,22997751441083138000,26775424467613342089,10637013939671091095,18446937325400899807,22473744726275115812,41627175485365856893,31191638972286485849,18171337580088463373,22503514126646338225,20998811205204605801,75458766628102696189,26834301902159081880,29744557586437198361,21734613534515829782,18494407864291199441,58899704574565276631,90217847381893573262,28622760181197824786,13638107326913964107,19737697070608610229,11554628042880193662,14873978357458898830,27078269733456041934,15874212910984490162"
"Perfect Cherry Aesthetic T Shirt, Minimal Fruit Graphic Tee, Cute Soft Girl Shirt, Y2K Style Lips Cherry Top, Subtle Aesthetic Outfit","When things are just perfect. The Gildan Softstyle® 64000 redefines casual comfort with a modern unisex cut and ultra-soft materials. Solid colors are 100% cotton, while heathers and sport grey use polyester blends for added durability. Shoulders are reinforced with twill tape, there are no side seams for a smoother fit, and the ribbed-knit collar helps prevent curling. Whether for printing or everyday wear, the Gildan 64000 stands out as a dependable wardrobe staple.

Disclaimer:
- Due to the fabric properties, the White color variant may appear off-white rather than bright white.
- Sleeve prints and neck labels are produced using DTF (Direct-to-Film) printing technology. This applies only to products fulfilled by the print providers OPT OnDemand and Shirt Monkey among the providers offering this item.
.: Made with 100% ring-spun cotton, the Gildan 64000 from the Gildan Softstyle® collection is a lightweight fabric (4.5 oz/yd² (153 g/m²)) that feels blissful to wear all year round. 
.: The classic fit with the crew neckline deliver a clean, versatile style that can match any occasion, whether it's formal or semi-formal. 
.: All shirts feature a pearlized, tear-away label for total wearing comfort. 
.: Made using ethically grown and harvested US cotton. Gildan is also a proud member of the US Cotton Trust Protocol ensuring ethical and sustainable means of production. This blank tee is certified by Oeko-Tex for safety and quality assurance.
.: Fabric blends: Heather colors - 35% ring-spun cotton, 65% polyester;  Sport Grey and Antique colors - 90% cotton, 10% polyester, Graphite Heather - 50% ring-spun cotton, 50% polyester

EU representative: HONSON VENTURES LIMITED, gpsr@honsonventures.com, 3, Gnaftis House flat 102, Limassol, Mesa Geitonia, 4003, CY
Product information: Gildan 64000, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC
Warnings, Hazard: For adults, Made in Bangladesh
Care instructions: Machine wash: cold (max 30C or 90F), with similar colors , Do not bleach, Tumble dry: low heat, Iron, steam or dry: low heat, Do not dryclean",15.02,GBP,50949,"cherry_shirt,aesthetic_tee,fruit_graphic,cute_shirt,y2k_shirt,soft_girl_tee,minimal_shirt,trendy_tshirt,gift_for_her,summer_outfit,cute_aesthetic,cherry_graphic,womens_tee",,https://i.etsystatic.com/63847702/r/il/9b118f/8006841467/il_fullxfull.8006841467_73nk.jpg,https://i.etsystatic.com/63847702/r/il/553830/8005623461/il_fullxfull.8005623461_pxkw.jpg,https://i.etsystatic.com/63847702/r/il/92859a/7957665432/il_fullxfull.7957665432_tcyq.jpg,https://i.etsystatic.com/63847702/r/il/df7bed/8005624303/il_fullxfull.8005624303_j3t5.jpg,https://i.etsystatic.com/63847702/r/il/5caec0/8005624665/il_fullxfull.8005624665_gsc8.jpg,https://i.etsystatic.com/63847702/r/il/5cd8f3/7957666712/il_fullxfull.7957666712_bt0y.jpg,https://i.etsystatic.com/63847702/r/il/6790f1/7957667166/il_fullxfull.7957667166_kpgk.jpg,https://i.etsystatic.com/63847702/r/il/6da8f0/8005625913/il_fullxfull.8005625913_9h70.jpg,https://i.etsystatic.com/63847702/r/il/7aefca/8005626397/il_fullxfull.8005626397_t19p.jpg,https://i.etsystatic.com/63847702/r/il/e785ae/7957668332/il_fullxfull.7957668332_a8zi.jpg,"Custom Property",Colors,"Charcoal,Navy,Sport Grey,White,Black,Military Green,Dark Heather,Graphite Heather","Custom Property",Sizes,"S,M,L,XL,2XL,3XL,4XL","12194831353678113257,88107331940581113697,65150947603180774529,83123932632008369864,20435932636289825987,31857885477181573044,25949942615877208665,31369716788357169437,20875978061273439998,12217195963693577874,14310083896530511093,28983747333459401295,14819853317070902496,18508340775270620772,18133305980749111843,15863525510001386115,30147455908330394792,96732068501582332972,28042156936454816144,32843272177871220993,27346935193505983941,unavailable_sku,10463920414519928221,32065155256555189336,25167852542579308652,35589045835950469391,16122340180875430620,32989516528304111933,15978554029202811872,47984455546961667956,14672893895142592637,93945125670456368615,20039006316481584941,17916265459381607953,24425007773411306276,28083101851444866660,64960385110306945543,85318283251416324329,13285219489183616465,16757641769466651780,26772722682257738327,66813434755925571756,23378420999212580494,14734856446134337947,28785798201240946075,21063513723945480059,73873631930375964987,26734315585182155643,23737457047467592478,24245330031555293166,56808976215818717292,10475247467824142265,12478081657366628307,22001861282879888030,52129758305799247403"
"Cherry Aesthetic T Shirt, Minimal Fruit Graphic Tee, Cute Soft Girl Shirt, Y2K Style Lips Cherry Top, Subtle Aesthetic Outfit, Gift for Her","A clean, aesthetic cherry graphic designed for a soft, effortless look. This piece leans into minimal visual style with a subtle edge, easy to wear, easy to pair, and designed to stand out without saying too much.

Perfect for those who prefer understated designs with a bit of personality. Works well with casual outfits, layered looks, or as a quiet statement piece.

Ideal as a gift or everyday staple for anyone into aesthetic fashion, fruit graphics, or soft Y2K inspired style.

Product Details

The Gildan Softstyle 64000 offers a lightweight, comfortable fit with a modern unisex cut. Designed for everyday wear with a smooth feel and clean silhouette.

Made with 100 percent ring spun cotton for solid colours
Lightweight fabric, 4.5 oz per square yard
No side seams for improved comfort and fit
Ribbed knit collar to help maintain shape
Shoulder to shoulder twill tape for durability
Tear away label for added comfort

Heather colours include polyester blends for durability.

Notes
Due to fabric properties, the white variant may appear slightly off white.
DTF printing may be used for sleeve prints or neck labels depending on provider.",19.4,GBP,34965,"cherry_shirt,aesthetic_tee,fruit_graphic,cute_shirt,y2k_shirt,soft_girl_tee,minimal_shirt,trendy_tshirt,gift_for_her,summer_outfit,cute_aesthetic,cherry_graphic,womens_tee",,https://i.etsystatic.com/63847702/r/il/ecbf04/7958892950/il_fullxfull.7958892950_hjd8.jpg,https://i.etsystatic.com/63847702/r/il/b2228c/8005615153/il_fullxfull.8005615153_kwsu.jpg,https://i.etsystatic.com/63847702/r/il/ad3bc5/8005615515/il_fullxfull.8005615515_nedp.jpg,https://i.etsystatic.com/63847702/r/il/4a9add/7957657212/il_fullxfull.7957657212_fvmi.jpg,https://i.etsystatic.com/63847702/r/il/322a6e/8005616209/il_fullxfull.8005616209_nboe.jpg,https://i.etsystatic.com/63847702/r/il/6a7ccc/7957657802/il_fullxfull.7957657802_kiwq.jpg,https://i.etsystatic.com/63847702/r/il/39b13d/8005616907/il_fullxfull.8005616907_mgaw.jpg,https://i.etsystatic.com/63847702/r/il/1c97b8/7957658510/il_fullxfull.7957658510_n3gg.jpg,https://i.etsystatic.com/63847702/r/il/95ea81/7957658916/il_fullxfull.7957658916_43hy.jpg,https://i.etsystatic.com/63847702/r/il/a1adce/7957659314/il_fullxfull.7957659314_gghk.jpg,"Custom Property",Colors,"Charcoal,Navy,Purple,Sport Grey,White,Black,Military Green","Custom Property",Sizes,"S,M,L,XL,2XL","13179319132000520470,28092127675639115978,10304022156694258170,30946765101600819062,66928621999837053295,33156728327114979542,29282752907463523877,26852423443110747544,31813089830262011440,19712521670374761773,31561477125572012367,30283880402974080866,26372850478699820299,57729450270478876234,73782779584557491523,11765736936813079951,14730315616412992731,25717694870360590304,11172974144914753124,24767983834148482682,10114622882340190386,78423369727418079438,22292170412828345737,23373332016736063810,19075867246464720766,22404003927593860071,13908496593934246144,18326363899980822728,12023445257718912294,86241468947000385226,28356876139535519311,49492819561291137370,29261657652476899096,25075539261887292936,33014651556529246767"
"Low Battery T Shirt Funny Tech Shirt Power Saving Mode Tee IT Humor Programmer Gift Geek Shirt Unisex Cotton Tee","Some days you are not fully charged, and that is fine.

This Low Battery T Shirt uses a clean, recognisable battery graphic with a subtle tech humour twist. The red low level indicator and structured layout make the message clear at a glance without feeling loud or novelty. It is designed to feel familiar to anyone who works with systems, screens, or long hours.

A simple idea, executed cleanly. Easy to wear, easy to recognise.

This tee works well for developers, IT professionals, engineers, tech support, office workers, or anyone who relates to running on low energy but still getting the job done. It also makes a practical gift for colleagues, friends, or anyone in a tech environment.

Printed on the Gildan Softstyle 64000, this shirt offers a lightweight feel with a modern unisex fit. The fabric is soft, breathable, and suitable for everyday wear across all seasons.

Product details

• Unisex fit suitable for everyday wear
• Made from soft ring spun cotton
• Lightweight and breathable fabric
• Classic crew neckline with modern shape
• No side seams for a smoother fit
• Ribbed collar designed to hold shape
• Tear away label for added comfort
• Ethically produced and Oeko Tex certified

Please note the white colour may appear slightly off white due to fabric properties.",16.09,GBP,35964,,,https://i.etsystatic.com/63847702/r/il/f1b039/7989668259/il_fullxfull.7989668259_lr6m.jpg,https://i.etsystatic.com/63847702/r/il/ec4971/7989661585/il_fullxfull.7989661585_1hes.jpg,https://i.etsystatic.com/63847702/r/il/d5b374/7989661863/il_fullxfull.7989661863_2uwi.jpg,https://i.etsystatic.com/63847702/r/il/cd0f31/7941702750/il_fullxfull.7941702750_dum3.jpg,https://i.etsystatic.com/63847702/r/il/6f5af7/7989662285/il_fullxfull.7989662285_9qmg.jpg,https://i.etsystatic.com/63847702/r/il/bde004/7941703262/il_fullxfull.7941703262_4tv5.jpg,https://i.etsystatic.com/63847702/r/il/47c6bf/7989662921/il_fullxfull.7989662921_45fk.jpg,https://i.etsystatic.com/63847702/r/il/2da58c/7941703832/il_fullxfull.7941703832_84ek.jpg,,,"Custom Property",Colors,"Navy,Sport Grey,White,Black,Military Green,Dark Heather,Natural","Custom Property",Sizes,"S,M,L,XL,2XL,3XL,4XL","unavailable_sku,85612954216106514451,26760215199833877617,13261936066361294435,25581793423504938354,11893712595712382532,23059913336645467646,15334403954867816542,25978318738787723023,18075879829569152417,28851593978343988608,27912836052521327448,30943807402610693528,30241349639766128316,29745335829706961753,33519161691096195752,24088314942042457573,29271128715494586687,20927114573039403371,26637390500660103972,11775362190100539763,36336289407184895760,20271703410988449425,10370275503336725964,53080791679912056026,13641558855795532165,20025279315605613978,11083364575056336413,31722081029554687611,31584869638649127881,32012422566278032071,66933596774289657994,28536992709627457360,28907257852882937569,17226373707770569533,15718223509123645609,11077524801876943555,45531097385802031585"
